Model,Attack Type,F1 (micro),Precision (micro),Recall (micro)
Linear SVM,No Attack,0.3475048787287427,0.7566009104704097,0.225549624536325
Linear SVM,White-box,0.3718309859154929,0.7951807228915663,0.2426470588235294
Linear SVM,Targeted,0.3718309859154929,0.7951807228915663,0.2426470588235294
Linear SVM,Untargeted,0.3718309859154929,0.7951807228915663,0.2426470588235294
Linear SVM,Sample-Agnostic,0.3490990990990991,0.484375,0.272887323943662
Logistic Regression,No Attack,0.1302150214475014,0.0704243042164446,0.8623903012756717
Logistic Regression,White-box,0.1234631810534489,0.0664067938187387,0.8768382352941176
Logistic Regression,Black-box,0.1233833419555095,0.0663606010016694,0.8768382352941176
Logistic Regression,Targeted,0.1232080588919023,0.0662592026670371,0.8768382352941176
Logistic Regression,Untargeted,0.1234631810534489,0.0664067938187387,0.8768382352941176
Softmax Regression,No Attack,0.1302150214475014,0.0704243042164446,0.8623903012756717
Softmax Regression,White-box,0.1234631810534489,0.0664067938187387,0.8768382352941176
Softmax Regression,Black-box,0.1233833419555095,0.0663606010016694,0.8768382352941176
Softmax Regression,Targeted,0.1232080588919023,0.0662592026670371,0.8768382352941176
Softmax Regression,Untargeted,0.1234631810534489,0.0664067938187387,0.8768382352941176
Decision Tree,No Attack,0.3341593358939412,0.5299665946158381,0.2440061521758798
Decision Tree,White-box,0.3726235741444867,0.6,0.2702205882352941
Decision Tree,Black-box,0.3647642679900744,0.5610687022900763,0.2702205882352941
Decision Tree,Targeted,0.3717026378896882,0.5344827586206896,0.2849264705882353
Decision Tree,Untargeted,0.3726235741444867,0.6,0.2702205882352941
