timestamp,model_name,defense_type,attack_type,epsilon,accuracy,precision_micro,recall_micro,f1_micro,base_f1_micro
2025-03-31 15:48:57,Linear SVM,transformation-scaling,white-box,0.5,0.01,0.6428571428571429,0.2933104631217839,0.4028268551236749,0.3333333333333333
2025-03-31 15:48:57,Linear SVM,transformation-pca,white-box,0.5,0.01,0.7866666666666666,0.20240137221269297,0.3219645293315143,0.3333333333333333
2025-03-31 15:48:58,Linear SVM,transformation-quantile,white-box,0.5,0.01,0.4819672131147541,0.2521440823327616,0.3310810810810811,0.3333333333333333
2025-03-31 15:48:58,Logistic Regression,transformation-scaling,white-box,0.5,0.0,0.04781796196548312,0.7461406518010292,0.08987603305785125,0.14218272702027215
2025-03-31 15:48:58,Logistic Regression,transformation-pca,white-box,0.5,0.0,0.07739891369945685,0.8799313893653516,0.14228262376924145,0.14218272702027215
2025-03-31 15:48:59,Logistic Regression,transformation-quantile,white-box,0.5,0.0,0.05363036303630363,0.8919382504288165,0.10117715731102248,0.14218272702027215
2025-03-31 15:48:59,Softmax Regression,transformation-scaling,white-box,0.5,0.0,0.04781796196548312,0.7461406518010292,0.08987603305785125,0.14218272702027215
2025-03-31 15:48:59,Softmax Regression,transformation-pca,white-box,0.5,0.0,0.07739891369945685,0.8799313893653516,0.14228262376924145,0.14218272702027215
2025-03-31 15:49:00,Softmax Regression,transformation-quantile,white-box,0.5,0.0,0.05363036303630363,0.8919382504288165,0.10117715731102248,0.14218272702027215
2025-03-31 15:49:00,Decision Tree,transformation-scaling,white-box,0.5,0.0,0.25501432664756446,0.3053173241852487,0.2779078844652615,0.3202846975088968
2025-03-31 15:49:00,Decision Tree,transformation-pca,white-box,0.5,0.01,0.531496062992126,0.23156089193825044,0.3225806451612903,0.3202846975088968
2025-03-31 15:49:01,Decision Tree,transformation-quantile,white-box,0.5,0.01,0.4459016393442623,0.2332761578044597,0.3063063063063063,0.3202846975088968
2025-03-31 15:48:57,Linear SVM,transformation-scaling,white-box,0.5,0.01,0.6428571428571429,0.2933104631217839,0.4028268551236749,0.3333333333333333
2025-03-31 15:48:57,Linear SVM,transformation-pca,white-box,0.5,0.01,0.7866666666666666,0.20240137221269297,0.3219645293315143,0.3333333333333333
2025-03-31 15:48:58,Linear SVM,transformation-quantile,white-box,0.5,0.01,0.4819672131147541,0.2521440823327616,0.3310810810810811,0.3333333333333333
2025-03-31 15:48:58,Logistic Regression,transformation-scaling,white-box,0.5,0.0,0.04781796196548312,0.7461406518010292,0.08987603305785125,0.14218272702027215
2025-03-31 15:48:58,Logistic Regression,transformation-pca,white-box,0.5,0.0,0.07739891369945685,0.8799313893653516,0.14228262376924145,0.14218272702027215
2025-03-31 15:48:59,Logistic Regression,transformation-quantile,white-box,0.5,0.0,0.05363036303630363,0.8919382504288165,0.10117715731102248,0.14218272702027215
2025-03-31 15:48:59,Softmax Regression,transformation-scaling,white-box,0.5,0.0,0.04781796196548312,0.7461406518010292,0.08987603305785125,0.14218272702027215
2025-03-31 15:48:59,Softmax Regression,transformation-pca,white-box,0.5,0.0,0.07739891369945685,0.8799313893653516,0.14228262376924145,0.14218272702027215
2025-03-31 15:49:00,Softmax Regression,transformation-quantile,white-box,0.5,0.0,0.05363036303630363,0.8919382504288165,0.10117715731102248,0.14218272702027215
2025-03-31 15:49:00,Decision Tree,transformation-scaling,white-box,0.5,0.0,0.25501432664756446,0.3053173241852487,0.2779078844652615,0.3202846975088968
2025-03-31 15:49:00,Decision Tree,transformation-pca,white-box,0.5,0.01,0.531496062992126,0.23156089193825044,0.3225806451612903,0.3202846975088968
2025-03-31 15:49:01,Decision Tree,transformation-quantile,white-box,0.5,0.01,0.4459016393442623,0.2332761578044597,0.3063063063063063,0.3202846975088968
